,Film,Revenue,Year
1626,Wrath of the Titans,301970083,2012
1627,John Carter,284139100,2012
1628,The Bourne Legacy,276572938,2012
1629,Lincoln,275293450,2012
1630,Dark Shadows,245527149,2012
1631,Resident Evil: Retribution,240159255,2012
1632,Silver Linings Playbook,236412453,2012
1633,American Reunion,234989584,2012
1634,Argo,232325503,2012
1635,Jack Reacher,218340595,2012
1636,Safe House,208076205,2012
1637,Lost in Thailand,208000000,2012
1638,21 Jump Street,201585328,2012
1639,Total Recall,198802074,2012
1640,The Impossible,198087212,2012
1641,The Vow,196114570,2012
1642,Mirror Mirror,183018522,2012
1643,The Dictator,179379533,2012
1644,Chinese Zodiac,171339013,2012
1645,Magic Mike,167221571,2012
1646,Flight,161772375,2012
1647,Underworld: Awakening,160112671,2012
1648,This Means War,156974557,2012
1649,Chronicle,145000000,2012
1650,Paranormal Activity 4,142817992,2012
1651,Step Up Revolution,140470746,2012
1652,Zero Dark Thirty,132820716,2012
1653,Cloud Atlas,130482868,2012
1654,The Woman in Black,127730736,2012
1655,The Pirates! In an Adventure with Scientists!,123054041,2012
1656,Parental Guidance,119772232,2012
1657,Abraham Lincoln: Vampire Hunter,116471580,2012
1658,Pitch Perfect,115400000,2012
1659,Hope Springs,114281051,2012
1660,ParaNorman,107139399,2012
1661,The Campaign,104907746,2012
1662,Painted Skin: The Resurrection,103131994,2012
1663,The Devil Inside,101758490,2012
1664,Someone Wants to Talk with You,100000000,2012
1665,The Lucky One,99357138,2012
1666,Contraband,96262212,2012
1667,Think Like a Man,96070507,2012
1668,This Is 40,88058786,2012
1669,The Possession,85446075,2012
1670,The Thieves,83519699,2012
1671,Savages,82966152,2012
1672,Sinister,82515113,2012
1673,Frankenweenie,81493846,2012
1674,Act of Valor,81272766,2012
1675,What to Expect When You're Expecting,79700000,2012
1676,Diary of a Wimpy Kid: Dog Days,76196538,2012
1677,To Rome with Love,73244881,2012
1678,Here Comes the Boom,73100172,2012
1679,The Cabin in the Woods,71041255,2012
1680,Anna Karenina,68929150,2012
1681,The Watch,68267862,2012
1682,Moonrise Kingdom,68263166,2012
1683,Madea's Witness Protection,66899242,2012
1684,Rurouni Kenshin Part I: Origins,61700000,2012
1685,Evangelion: 3.0 You Can (Not) Redo,60487945,2012
1686,Quartet,59520298,2012
1687,Rock of Ages,59418613,2012
1688,That's My Boy,58058367,2012
1689,The Odd Life of Timothy Green,56012642,2012
1690,Wolf Children,55060661,2012
1691,The Three Stooges,54819301,2012
1692,The Five-Year Engagement,54169363,2012
1693,Lawless,53676580,2012
1694,Silent Hill: Revelation 3D,52302796,2012
1695,Ek Tha Tiger,51000000,2012
1696,Red Tails,50365377,2012
1697,HOUBA! On the Trail of the Marsupilami,48600000,2012
1698,End of Watch,48126384,2012
1699,Looper,47042000,2012
1700,Frozen,1274219009,2013
1701,Iron Man 3,1214811252,2013
1702,Despicable Me 2,970761885,2013
1703,The Hobbit: The Desolation of Smaug,958400000,2013
1704,The Hunger Games: Catching Fire,847423452,2013
1705,Fast & Furious 6,788680968,2013
1706,Man of Steel,754045518,2013
1707,Monsters University,743559607,2013
1708,Gravity,723192705,2013
1709,Thor: The Dark World,644571402,2013
1710,The Croods,587204668,2013
1711,World War Z,531865000,2013
1712,Oz the Great and Powerful,491868548,2013
1713,Star Trek Into Darkness,467365246,2013
1714,The Wolverine,415440673,2013
1715,Pacific Rim,407602906,2013
1716,The Wolf of Wall Street,392000000,2013
1717,G.I. Joe: Retaliation,371876278,2013
1718,The Hangover Part III,362000072,2013
1719,Now You See Me,351723989,2013
1720,The Great Gatsby,351040419,2013
1721,The Smurfs 2,347434178,2013
1722,The Conjuring,319494638,2013
1723,A Good Day to Die Hard,304654182,2013
1724,Oblivion,286168572,2013
1725,Elysium,286140700,2013
1726,Turbo,282570682,2013
1727,We're the Millers,269994119,2013
1728,Epic,268426634,2013
1729,The Lone Ranger,260502115,2013
1730,American Hustle,251171807,2013
1731,Cloudy with a Chance of Meatballs 2,248384621,2013
1732,Grown Ups 2,247022278,2013
1733,After Earth,243843127,2013
1734,Hansel & Gretel: Witch Hunters,226349749,2013
1735,Planes,219788712,2013
1736,Captain Phillips,218791811,2013
1737,White House Down,205366737,2013
1738,Percy Jackson: Sea of Monsters,199850315,2013
1739,Jack the Giant Slayer,197687603,2013
1740,The Secret Life of Walter Mitty,188133322,2013
1741,12 Years a Slave,187000000,2013
1742,Identity Thief,173965010,2013
1743,Anchorman 2: The Legend Continues,173649015,2013
1744,Olympus Has Fallen,161025640,2013
1745,Insidious: Chapter 2,161000000,2013
1746,The Heat,158674180,2013
1747,Jackass Presents: Bad Grandpa,151831537,2013
1748,47 Ronin,150962475,2013
1749,Lone Survivor,149295601,2013
1750,RED 2,148100000,2013
1751,Mama,146497771,2013
1752,Last Vegas,134402450,2013
1753,2 Guns,131940411,2013
1754,Walking with Dinosaurs,126546518,2013
1755,This Is the End,126041322,2013
1756,Ender's Game,125537191,2013
1757,Escape Plan,122915111,2013
1758,Prisoners,122126687,2013
1759,The Wind Rises,117932401,2013
1760,Warm Bodies,116980662,2013
1761,So Young,116000000,2013
1762,The Butler,115922175,2013
1763,Saving Mr. Banks,112544580,2013
1764,Free Birds,110000000,2013
1765,Gangster Squad,105200903,2013
1766,Philomena,100129872,2013
1767,Blue Jasmine,99206215,2013
1768,Instructions Not Included,99067206,2013
1769,Young Detective Dee: Rise of the Sea Dragon,98774891,2013
1770,Riddick,98337295,2013
1771,Safe Haven,97594140,2013
1772,Evil Dead,97542952,2013
1773,The Mortal Instruments: City of Bones,95396573,2013
1774,42,95020213,2013
1775,Dhoom 3,91000000,2013
1776,Rush,90247624,2013
1777,The Purge,89328627,2013
1778,American Dreams in China,88000000,2013
1779,Pain & Gain,87305549,2013
1780,About Time,87100449,2013
1781,Snowpiercer,86758912,2013
1782,The Eternal Zero,84500000,2013
1783,Carrie,82394288,2013
1784,Finding Mr. Right,81350000,2013
1785,Police Story: Lockdown,81170000,2013
1786,Scary Movie 5,78378744,2013
1787,The Book Thief,76586316,2013
1788,Escape from Planet Earth,74597643,2013
1789,August: Osage County,74188937,2013
1790,The Best Man Holiday,71625195,2013
1791,The Counselor,71009334,2013
1792,The Call,68572378,2013
1793,One Direction: This Is Us,68500000,2013
1794,Stalingrad,68129518,2013
1795,The House of Magic,64197205,2013
1796,The Grandmaster,64076736,2013
1797,Begin Again,63464861,2013
1798,Side Effects,63372757,2013
1799,The Host,63327201,2013
1800,Transformers: Age of Extinction,1104000000,2014
1801,The Hobbit: The Battle of the Five Armies,956019788,2014
1802,Guardians of the Galaxy,772776600,2014
1803,Maleficent,758539785,2014
1804,The Hunger Games: Mockingjay - Part 1,752100229,2014
1805,X-Men: Days of Future Past,747862775,2014
1806,Captain America: The Winter Soldier,714766572,2014
1807,Dawn of the Planet of the Apes,710644566,2014
1808,The Amazing Spider-Man 2,708962323,2014
1809,Interstellar,701729206,2014
1810,Big Hero 6,657827828,2014
1811,How to Train Your Dragon 2,621537500,2014
1812,American Sniper,542307423,2014
1813,Godzilla,529076069,2014
1814,Rio 2,500188435,2014
1815,Teenage Mutant Ninja Turtles,477200000,2014
1816,The Lego Movie,469160692,2014
1817,Lucy,458863600,2014
1818,Kingsman: The Secret Service,414351546,2014
1819,Penguins of Madagascar,373552094,2014
1820,Edge of Tomorrow,370541256,2014
1821,Gone Girl,369330363,2014
1822,Night at the Museum: Secret of the Tomb,363204635,2014
1823,Noah,362637473,2014
1824,The Maze Runner,348319861,2014
1825,300: Rise of an Empire,337580051,2014
1826,Taken 3,325771424,2014
1827,The Fault in Our Stars,307166834,2014
1828,Divergent,288747895,2014
1829,Mr. Peabody & Sherman,272912430,2014
1830,Neighbors,270665134,2014
1831,Exodus: Gods and Kings,268031828,2014
1832,Paddington,259207227,2014
1833,Annabelle,257047661,2014
1834,Hercules,244819862,2014
1835,RoboCop,242688965,2014
1836,The Imitation Game,233555708,2014
1837,Non-Stop,222809600,2014
1838,Dracula Untold,217124280,2014
1839,Into the Woods,212902372,2014
1840,Fury,211817906,2014
1841,The Expendables 3,206172544,2014
1842,Need for Speed,203277636,2014
1843,The Other Woman,196781193,2014
1844,The Equalizer,192330738,2014
1845,22 Jump Street,188441614,2014
1846,Serial (Bad) Weddings,176404493,2014
1847,The Grand Budapest Hotel,174600318,2014
1848,Dumb and Dumber To,169837010,2014
1849,Unbroken,163442937,2014
1850,Into the Storm,160602194,2014
1851,The Monuments Men,154984035,2014
1852,Ride Along,153997819,2014
1853,Planes: Fire & Rescue,151165787,2014
1854,The Taking of Tiger Mountain,141654055,2014
1855,Let's Be Cops,136621271,2014
1856,Jack Ryan: Shadow Recruit,135511030,2014
1857,Annie,133821816,2014
1858,Blended,127994610,2014
1859,Sex Tape,126069509,2014
1860,The Theory of Everything,123726688,2014
1861,The Nut Job,122529966,2014
1862,PK,120000000,2014
1863,Pompeii,117831631,2014
1864,Seventh Son,114178613,2014
1865,The Admiral: Roaring Currents,112156811,2014
1866,The Purge: Anarchy,111928365,2014
1867,"Where Are We Going, Dad?",111870000,2014
1868,The Boxtrolls,108255770,2014
1869,Horrible Bosses 2,107670357,2014
1870,The Breakup Guru,106640000,2014
1871,Ode To My Father,105365782,2014
1872,Ouija,103590271,2014
1873,Birdman or (The Unexpected Virtue of Ignorance),103215094,2014
1874,Transcendence,103039258,2014
1875,Heaven Is for Real,101332962,2014
1876,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",100654149,2014
1877,Tammy,100525432,2014
1878,George Strait: The Cowboy Rides Away,99000000,2014
1879,The Book of Life,97437106,2014
1880,The Hundred-Foot Journey,88880821,2014
1881,John Wick,88761661,2014
1882,Deliver Us from Evil,87937815,2014
1883,A Million Ways to Die in the West,86410000,2014
1884,Paranormal Activity: The Marked Ones,86362372,2014
1885,Step Up All In,86165646,2014
1886,The Judge,83719388,2014
1887,Stand by Me Doraemon,83061158,2014
1888,Muppets Most Wanted,80383290,2014
1889,Spanish Affair,78768613,2014
1890,If I Stay,78274843,2014
1891,"I, Frankenstein",76801179,2014
1892,My Old Classmate,76000000,2014
1893,Think Like a Man Too,70181428,2014
1894,Brick Mansions,68896829,2014
1895,Son of God,67800064,2014
1896,Jersey Boys,67347013,2014
1897,The Giver,66980456,2014
1898,Selma,66787908,2014
1899,The Legend of Hercules,61279452,2014
1900,Star Wars: The Force Awakens,2068223624,2015
1901,Jurassic World,1671713208,2015
1902,Furious 7,1515047671,2015
1903,Avengers: Age of Ultron,1405403694,2015
1904,Minions,1156730962,2015
1905,Spectre,880674609,2015
1906,Inside Out,857611174,2015
1907,Mission: Impossible - Rogue Nation,682330139,2015
1908,The Hunger Games: Mockingjay - Part 2,653428261,2015
1909,The Martian,630161890,2015
1910,Fifty Shades of Grey,571006128,2015
1911,Cinderella,543514353,2015
1912,The Revenant,532950503,2015
1913,Ant-Man,519311965,2015
1914,San Andreas,473990832,2015
1915,Hotel Transylvania 2,473226958,2015
1916,Terminator Genisys,440603537,2015
1917,Mad Max: Fury Road,378858340,2015
1918,Home,368871007,2015
1919,The Good Dinosaur,332207671,2015
1920,Maze Runner: The Scorch Trials,312296056,2015
1921,The SpongeBob Movie: Sponge Out of Water,311594032,2015
1922,Insurgent,295238201,2015
1923,Pitch Perfect 2,287506194,2015
1924,Mojin: The Lost Legend,278300000,2015
1925,The Peanuts Movie,246233113,2015
1926,Pixels,243637091,2015
1927,Daddy's Home,242786137,2015
1928,Spy,235666219,2015
1929,Alvin and the Chipmunks: The Road Chip,233755553,2015
1930,Ted 2,215863606,2015
1931,Tomorrowland,209154322,2015
1932,Everest,203427584,2015
1933,Straight Outta Compton,201634991,2015
1934,The Intern,194564672,2015
1935,Jupiter Ascending,183987723,2015
1936,Creed,173567581,2015
1937,Fantastic Four,167977596,2015
1938,Bridge of Spies,165478348,2015
1939,Goosebumps,158162788,2015
1940,Ip Man 3,156844753,2015
1941,The Hateful Eight,155760117,2015
1942,Focus,153962963,2015
1943,Monkey King: Hero Is Back,150000000,2015
1944,Bajrangi Bhaijaan,150000000,2015
1945,The Last Witch Hunter,146936910,2015
1946,Trainwreck,140795793,2015
1947,Point Break,133718711,2015
1948,The Big Short,133346506,2015
1949,Pan,128388320,2015
1950,Wolf Totem,123205624,2015
1951,Dragon Blade,121545703,2015
1952,Magic Mike XXL,117813057,2015
1953,Get Hard,111811453,2015
1954,The Man from U.N.C.L.E.,108145109,2015
1955,Paul Blart: Mall Cop 2,107597242,2015
1956,Shaun the Sheep Movie,106209378,2015
1957,Sisters,105011053,2015
1958,Chappie,104399548,2015
1959,Vacation,104384188,2015
1960,Insidious: Chapter 3,104303851,2015
1961,Joy,101134059,2015
1962,Chronicles of the Ghostly Tribe,99849421,2015
1963,Black Mass,98837872,2015
1964,Spotlight,98690254,2015
1965,The Visit,98450062,2015
1966,The Little Prince,97571250,2015
1967,Poltergeist,95437994,2015
1968,In the Heart of the Sea,93920758,2015
1969,Southpaw,91709827,2015
1970,Bāhubali: The Beginning,90747520,2015
1971,Veteran,87970000,2015
1972,The Second Best Exotic Marigold Hotel,85978266,2015
1973,Paper Towns,85512300,2015
1974,Sicario,84872444,2015
1975,Suck Me Shakespeer 2,83027924,2015
1976,Hitman: Agent 47,81967450,2015
1977,Wolf Warrior,80000000,2015
1978,The Wedding Ringer,79799880,2015
1979,Paranormal Activity: The Ghost Dimension,78096553,2015
1980,Jawani Phir Nahi Ani,77000000,2015
1981,Crimson Peak,74679822,2015
1982,The Transporter Refueled,72629670,2015
1983,Run All Night,71561644,2015
1984,War Room,67790117,2015
1985,Prem Ratan Dhan Payo,67000000,2015
1986,The Age of Adaline,65663276,2015
1987,Hot Tub Time Machine 2,64780213,2015
1988,The Danish Girl,64191523,2015
1989,The Lazarus Effect,64110728,2015
1990,The Longest Ride,63013281,2015
1991,Unfriended,62882090,2015
1992,Brooklyn,62076141,2015
1993,Inside Men,62000000,2015
1994,Krampus,61788393,2015
1995,Dragon Ball Z: Resurrection 'F',61768190,2015
1996,Woman in Gold,61619773,2015
1997,The Walk,61181942,2015
1998,Dilwale,61000000,2015
1999,The Perfect Guy,60273173,2015
2000,Captain America: Civil War,1153296293,2016
2001,Rogue One: A Star Wars Story,1056057273,2016
2002,Finding Dory,1028570889,2016
2003,Zootopia,1023784195,2016
2004,The Jungle Book,966550600,2016
2005,The Secret Life of Pets,875457937,2016
2006,Batman v Superman: Dawn of Justice,873634919,2016
2007,Fantastic Beasts and Where to Find Them,809342332,2016
2008,Deadpool,783100000,2016
2009,Suicide Squad,746846894,2016
2010,Moana,690860472,2016
2011,Doctor Strange,677700000,2016
2012,Sing,634151679,2016
2013,The Mermaid,553810228,2016
2014,X-Men: Apocalypse,543934787,2016
2015,Kung Fu Panda 3,521170825,2016
2016,La La Land,448900000,2016
2017,Warcraft,433677183,2016
2018,Jason Bourne,415484914,2016
2019,Ice Age: Collision Course,408579038,2016
2020,Independence Day: Resurgence,389681935,2016
2021,Your Name.,357986087,2016
2022,The Legend of Tarzan,356743061,2016
2023,The Angry Birds Movie,349779543,2016
2024,Trolls,346864462,2016
2025,Star Trek Beyond,343471816,2016
2026,Now You See Me 2,334901337,2016
2027,The Great Wall,331957105,2016
2028,The Conjuring 2,320392818,2016
2029,Resident Evil: The Final Chapter,312242626,2016
2030,Dangal,310000000,2016
2031,Passengers,303144152,2016
2032,Alice Through the Looking Glass,299457024,2016
2033,Miss Peregrine's Home for Peculiar Children,296482446,2016
2034,Split,278454358,2016
2035,Teenage Mutant Ninja Turtles: Out of the Shadows,245623848,2016
2036,Sully,240797623,2016
2037,Assassin's Creed,240697856,2016
2038,Hidden Figures,230698791,2016
2039,Ghostbusters,229147509,2016
2040,Inferno,220021259,2016
2041,Central Intelligence,216972543,2016
2042,Bridget Jones's Baby,211952420,2016
2043,Me Before You,207945075,2016
2044,London Has Fallen,205754447,2016
2045,Arrival,203388186,2016
2046,The BFG,195243411,2016
2047,The Monkey King 2,193677158,2016
2048,A Aa,189432924,2016
2049,Royal Treasure,186708860,2016
2050,Bad Moms,183936074,2016
2051,Storks,182379278,2016
2052,Allegiant,179246868,2016
2053,Hacksaw Ridge,175302354,2016
2054,The Girl on the Train,173185859,2016
2055,Operation Mekong,173000000,2016
2056,The Huntsman: Winter's War,164989338,2016
2057,The Magnificent Seven,162360636,2016
2058,Jack Reacher: Never Go Back,162146076,2016
2059,Don't Breathe,159047649,2016
2060,The Accountant,155160045,2016
2061,Gods of Egypt,150680864,2016
2062,Lights Out,148868835,2016
2063,Pete's Dragon,143695338,2016
2064,Sausage Party,140705322,2016
2065,Lion,140312928,2016
2066,Mechanic: Resurrection,125729635,2016
2067,Ride Along 2,124827316,2016
2068,Deepwater Horizon,121790373,2016
2069,Allied,119520023,2016
2070,The Shallows,119100758,2016
2071,The Purge: Election Year,118587880,2016
2072,Why Him?,118102725,2016
2073,Office Christmas Party,114501299,2016
2074,How to Be Single,112343513,2016
2075,The 5th Wave,109906372,2016
2076,Neighbors 2: Sorority Rising,108758521,2016
2077,10 Cloverfield Lane,108286421,2016
2078,Cold War II,103197501,2016
2079,Railroad Tigers,102205175,2016
2080,Sultan,102000000,2016
2081,Dirty Grandpa,94073028,2016
2082,Ben-Hur,94061311,2016
2083,Money Monster,93282604,2016
2084,My Big Fat Greek Wedding 2,90632641,2016
2085,Line Walker,88658655,2016
2086,Collateral Beauty,88528280,2016
2087,Train to Busan,87547518,2016
2088,War Dogs,86234523,2016
2089,Nerve,85241496,2016
2090,Big Fish & Begonia,84552250,2016
2091,Ouija: Origin of Evil,81705746,2016
2092,Underworld: Blood Wars,81093313,2016
2093,Manchester by the Sea,78988148,2016
2094,The Boss,78636257,2016
2095,Shin Godzilla,77947607,2016
2096,Mike and Dave Need Wedding Dates,77068246,2016
2097,Kubo and the Two Strings,76249438,2016
2098,Where Am I Going?,75173000,2016
2099,Boo! A Madea Halloween,74827344,2016
2100,Beauty and the Beast,1263521126,2017
2101,The Fate of the Furious,1238764765,2017
2102,Despicable Me 3,1031552585,2017
2103,Jumanji: Welcome to the Jungle,962102237,2017
2104,Spider-Man: Homecoming,880166924,2017
2105,Wolf Warrior 2,870322670,2017
2106,Guardians of the Galaxy Vol. 2,863756051,2017
2107,Thor: Ragnarok,853977126,2017
2108,Wonder Woman,821847012,2017
2109,Coco,800526015,2017
2110,Pirates of the Caribbean: Dead Men Tell No Tales,794861794,2017
2111,It,701796444,2017
2112,Justice League,657924295,2017
2113,Logan,619021436,2017
2114,Transformers: The Last Knight,605425157,2017
2115,Kong: Skull Island,566652812,2017
2116,Dunkirk,527000000,2017
2117,The Boss Baby,498814908,2017
2118,War for the Planet of the Apes,488533726,2017
2119,Chasing the Dragon,445000000,2017
2120,The Greatest Showman,432844677,2017
2121,Kingsman: The Golden Circle,410902662,2017
2122,The Mummy,409231607,2017
2123,Cars 3,383925276,2017
2124,Fifty Shades Darker,378827494,2017
2125,Murder on the Orient Express,351839303,2017
2126,xXx: Return of Xander Cage,346147658,2017
2127,Never Say Die,334530869,2017
2128,The Lego Batman Movie,311950384,2017
2129,Annabelle: Creation,306515884,2017
2130,Wonder,305937718,2017
2131,Ferdinand,295038508,2017
2132,Bāhubali 2: The Conclusion,275947313,2017
2133,Blade Runner 2049,259239658,2017
2134,Get Out,255407969,2017
2135,Kung Fu Yoga,254212245,2017
2136,Alien: Covenant,232380243,2017
2137,Paddington 2,227300000,2017
2138,Baby Driver,226945087,2017
2139,Valerian and the City of a Thousand Planets,225874228,2017
2140,Youth,224160000,2017
2141,Geostorm,221600160,2017
2142,The Emoji Movie,216909830,2017
2143,A Dog's Purpose,205035819,2017
2144,One Cut of the Dead,200000000,2017
2145,Smurfs: The Lost Village,197183546,2017
2146,The Shape of Water,194989655,2017
2147,Pitch Perfect 3,184724494,2017
2148,Daddy's Home 2,180613180,2017
2149,The Post,179769467,2017
2150,Baywatch,177856751,2017
2151,The Hitman's Bodyguard,176586701,2017
2152,John Wick: Chapter 2,171539887,2017
2153,Ghost in the Shell,169801921,2017
2154,Italy Italy,162593526,2017
2155,"Three Billboards Outside Ebbing, Missouri",160192031,2017
2156,Darkest Hour,150847207,2017
2157,King Arthur: Legend of the Sword,148675066,2017
2158,The Foreigner,145374099,2017
2159,Power Rangers,142337240,2017
2160,Girls Trip,140376621,2017
2161,Secret Superstar,137416709,2017
2162,American Made,133511855,2017
2163,A Bad Moms Christmas,130560428,2017
2164,Along with the Gods: The Two Worlds,125983972,2017
2165,Captain Underpants: The First Epic Movie,125289450,2017
2166,The Lego Ninjago Movie,123081555,2017
2167,Happy Death Day,122637878,2017
2168,The Dark Tower,113231078,2017
2169,Jigsaw,102952888,2017
2170,Life,100541806,2017
2171,Atomic Blonde,100014025,2017
2172,The Shack,92924405,2017
2173,Heartthrob,90000000,2017
2174,Tiger Zinda Hai,87320000,2017
2175,Going in Style,84618541,2017
2176,Rings,83080890,2017
2177,A Taxi Driver,81927980,2017
2178,City of Rock,80000000,2017
2179,Lady Bird,78966486,2017
2180,Boonie Bears: Entangled Worlds,77174241,2017
2181,American Assassin,67200000,2017
2182,Victoria & Abdul,65421267,2017
2183,The Nut Job 2: Nutty by Nature,65146020,2017
2184,Detective Conan: The Crimson Love Letter,63147576,2017
2185,The Mountain Between Us,62832209,2017
2186,"Everything, Everything",61621140,2017
2187,Snatched,60845711,2017
2188,My Little Pony: The Movie,60330833,2017
2189,Molly's Game,59284015,2017
2190,All the Money in the World,56996304,2017
2191,The Big Sick,56303596,2017
2192,Confidential Assignment,56100000,2017
2193,Downsizing,55003890,2017
2194,"I, Tonya",53939297,2017
2195,The Outlaws,52946454,2017
2196,Hindi Medium,52390000,2017
2197,Three Seconds,51169464,2017
2198,1987: When the Day Comes,49380115,2017
2199,Logan Lucky,48453605,2017
2200,Avengers: Infinity War,2046239637,2018
2201,Black Panther,1346739107,2018
2202,Jurassic World: Fallen Kingdom,1303459585,2018
2203,Incredibles 2,1242805359,2018
2204,Aquaman,1148461807,2018
2205,Bohemian Rhapsody,894027543,2018
2206,Venom,855013954,2018
2207,Mission: Impossible - Fallout,791017452,2018
2208,Deadpool 2,786365638,2018
2209,Fantastic Beasts: The Crimes of Grindelwald,653355901,2018
2210,Ant-Man and the Wasp,622674139,2018
2211,Ready Player One,582890172,2018
2212,Operation Red Sea,579220560,2018
2213,The Meg,530243742,2018
2214,Ralph Breaks the Internet,529221154,2018
2215,Hotel Transylvania 3: Summer Vacation,528600000,2018
2216,The Grinch,508575295,2018
2217,Bumblebee,467989645,2018
2218,A Star Is Born,433888866,2018
2219,Rampage,426245950,2018
2220,Mamma Mia! Here We Go Again,395044706,2018
2221,Solo: A Star Wars Story,392952373,2018
2222,Spider-Man: Into the Spider-Verse,375540831,2018
2223,Fifty Shades Freed,368307760,2018
2224,The Nun,365550119,2018
2225,Peter Rabbit,351266433,2018
2226,Mary Poppins Returns,348807090,2018
2227,Taylor Swift: Reputation Stadium Tour,345000000,2018
2228,A Quiet Place,340677200,2018
2229,Green Book,319700000,2018
2230,Ocean's Eight,297718711,2018
2231,Skyscraper,292351275,2018
2232,Pacific Rim: Uprising,290061297,2018
2233,Maze Runner: The Death Cure,288175335,2018
2234,Tomb Raider,274650803,2018
2235,Halloween,253688035,2018
2236,Crazy Rich Asians,238539198,2018
2237,Creed II,214215889,2018
2238,Us and Them,209221331,2018
2239,Bel Canto,176746000,2018
2240,The Mule,174804407,2018
2241,Insidious: The Last Key,167184112,2018
2242,The Predator,160542134,2018
2243,Johnny English Strikes Again,158256993,2018
2244,Red Sparrow,151572634,2018
2245,The First Purge,137056262,2018
2246,A Wrinkle in Time,132675864,2018
2247,The House with a Clock in Its Walls,131457147,2018
2248,Dragon Ball Super: Broly,125002821,2018
2249,The Commuter,119942387,2018
2250,Game Night,117501013,2018
2251,2.0,114629169,2018
2252,Along with the Gods: The Last 49 Days,112790210,2018
2253,First Man,105702570,2018
2254,The Equalizer 2,102084362,2018
2255,Detective Conan: Zero the Enforcer,101860359,2018
2256,Taxiwala,100000000,2018
2257,Khaltoor,100000000,2018
2258,Christopher Robin,99138899,2018
2259,A Simple Favor,97644617,2018
2260,Truth or Dare,95330493,2018
2261,I Feel Pretty,94539426,2018
2262,Blockers,94017294,2018
2263,BlacKkKlansman,93400823,2018
2264,Goosebumps 2: Haunted Halloween,93320380,2018
2265,Kamen Rider Build the Movie: Be The One,92108679,2018
2266,Shadow,91708374,2018
2267,Overboard,91244913,2018
2268,Sherlock Gnomes,90497778,2018
2269,Boonie Bears: The Big Shrink,88726207,2018
2270,Robin Hood,86493046,2018
2271,I Can Only Imagine,86026201,2018
2272,Detective Dee: The Four Heavenly Kings,84168923,2018
2273,Mortal Engines,83672673,2018
2274,The Favourite,82124805,2018
2275,Padmaavat,81673897,2018
2276,Den of Thieves,80509622,2018
2277,Hereditary,80239658,2018
2278,Book Club,78720293,2018
2279,Vice,76073488,2018
2280,Sicario: Day of the Soldado,75836683,2018
2281,Tag,75100000,2018
2282,Widows,73866088,2018
2283,Second Act,72282227,2018
2284,12 Strong,67450815,2018
2285,Sanju,67414985,2018
2286,"Love, Simon",66316289,2018
2287,Mile 22,66308758,2018
2288,Searching,66265218,2018
2289,Capernaum,64978931,2018
2290,Isle of Dogs,64241499,2018
2291,Life of the Party,61700416,2018
2292,The Nutcracker and the Four Realms,59522646,2018
2293,The 15:17 to Paris,57076286,2018
2294,Early Man,53431158,2018
2295,Breaking In,49078000,2018
2296,Peppermint,48818723,2018
2297,Asterix: The Secret of the Magic Potion,45631901,2018
2298,Winchester,44019588,2018
2299,Annihilation,43070915,2018
2300,Avengers: Endgame,2797800564,2019
2301,The Lion King,1667635327,2019
2302,Frozen II,1450026933,2019
2303,Spider-Man: Far From Home,1131927996,2019
2304,Captain Marvel,1128276090,2019
2305,Joker,1074251311,2019
2306,Star Wars: The Rise of Skywalker,1074144248,2019
2307,Toy Story 4,1073394593,2019
2308,Aladdin,1047612394,2019
2309,Jumanji: The Next Level,800059707,2019
2310,Fast & Furious Presents: Hobbs & Shaw,760098996,2019
2311,Ne Zha,686067000,2019
2312,How to Train Your Dragon: The Hidden World,517526875,2019
2313,Alha Sahma,500000000,2019
2314,Maleficent: Mistress of Evil,491570967,2019
2315,It Chapter Two,473093228,2019
2316,Pokémon Detective Pikachu,433005346,2019
2317,Alita: Battle Angel,404852543,2019
2318,Godzilla: King of the Monsters,386600138,2019
2319,1917,374733942,2019
2320,Once Upon a Time… in Hollywood,374251247,2019
2321,Shazam!,365971656,2019
2322,John Wick: Chapter 3 - Parabellum,326709727,2019
2323,Knives Out,309232797,2019
2324,Terminator: Dark Fate,261119292,2019
2325,Parasite,257591776,2019
2326,Us,255105930,2019
2327,Men in Black: International,252608480,2019
2328,Dark Phoenix,252442974,2019
2329,Glass,246941965,2019
2330,Annabelle Comes Home,231252591,2019
2331,Better Days,225879065,2019
2332,Ford v Ferrari,225508210,2019
2333,Little Women,216601214,2019
2334,Dumbo,215832199,2019
2335,The Addams Family,203044905,2019
2336,Downton Abbey,192094429,2019
2337,The Lego Movie 2: The Second Part,190514361,2019
2338,Weathering with You,186965409,2019
2339,Abominable,179057149,2019
2340,Gemini Man,173469516,2019
2341,Spies in Disguise,171616764,2019
2342,Rocketman,167323950,2019
2343,Hustlers,157600000,2019
2344,Escape Room,155712077,2019
2345,The Secret Life of Pets 2,155152550,2019
2346,The Angry Birds Movie 2,147792047,2019
2347,Angel Has Fallen,146661977,2019
2348,Ad Astra,132807427,2019
2349,Midway,125641396,2019
2350,Extreme Job,124652206,2019
2351,Zombieland: Double Tap,122801777,2019
2352,The Curse of La Llorona,122033739,2019
2353,Last Christmas,121550750,2019
2354,Dora and the Lost City of Gold,119682635,2019
2355,Wonder Park,119559110,2019
