,film,revenue,release_date
646,The Tuxedo,104391623,2002-09-27
647,Resident Evil,102984862,2002-03-15
648,John Q,102244770,2002-02-15
649,Phone Booth,97837138,2002-09-09
650,Changing Lanes,94935764,2002-04-07
651,28 Days Later,85720385,2002-10-31
652,Reign of Fire,82150183,2002-07-12
653,Snow Dogs,81000000,2002-01-18
654,Collateral Damage,78382433,2002-02-06
655,Showtime,77741732,2002-03-14
656,Windtalkers,77628265,2002-06-14
657,Barbershop,77063924,2002-04-01
658,Bend It Like Beckham,76578641,2002-04-11
659,The Rookie,75597042,2002-03-25
660,The Count of Monte Cristo,75395048,2002-01-23
661,Divine Secrets of the Ya-Ya Sisterhood,73839240,2002-06-07
662,The Sweetest Thing,68696770,2002-04-12
663,Ghost Ship,68349884,2002-10-25
664,Star Trek: Nemesis,67312826,2002-12-13
665,Bad Company,65977295,2002-06-07
666,Jackass: The Movie,64282312,2002-10-25
667,High Crimes,63781810,2002-04-05
668,Crossroads,61141030,2002-02-15
669,Drumline,57588485,2002-12-13
670,Murder by Numbers,56714147,2002-04-19
671,Frida,56298474,2002-08-29
672,The Mothman Prophecies,55305279,2002-01-25
673,Analyze That,55003135,2002-12-06
674,The Hot Chick,54639553,2002-12-13
675,The Cat Returns,54016370,2002-07-19
676,Big Fat Liar,52970014,2002-02-08
677,Dragonfly,52322400,2002-02-22
678,One Hour Photo,52223306,2002-08-21
679,Blue Crush,51842679,2002-08-08
680,Enough,51801187,2002-05-21
681,I Spy,51386477,2002-10-31
682,Talk to Her,51001550,2002-03-14
683,A Walk to Remember,47494916,2002-01-25
684,Eight Legged Freaks,45867333,2002-07-17
685,Queen of the Damned,45479110,2002-02-10
686,The Transporter,43928932,2002-10-02
687,The Master of Disguise,43411001,2002-08-02
688,Undercover Brother,41604473,2002-05-31
689,The Hours,41597830,2002-12-27
690,Pinocchio,41323171,2002-10-11
691,Clockstoppers,38793283,2002-03-17
692,The Banger Sisters,38068353,2002-09-20
693,Halloween: Resurrection,37664855,2002-07-01
694,Bowling for Columbine,35564473,2002-10-09
695,K-19: The Widowmaker,35168966,2002-07-19
696,Friday After Next,33526835,2002-11-22
697,The Crocodile Hunter: Collision Course,33082548,2002-07-26
698,Confessions of a Dangerous Mind,33013805,2002-12-31
699,Adaptation.,32801173,2002-12-06
700,The Lord of the Rings: The Return of the King,1118888979,2003-12-01
701,Finding Nemo,940335536,2003-05-30
702,The Matrix Reloaded,738599701,2003-05-15
703,Pirates of the Caribbean: The Curse of the Black Pearl,655011224,2003-07-09
704,Bruce Almighty,484592874,2003-05-23
705,The Last Samurai,456758981,2003-01-09
706,Terminator 3: Rise of the Machines,435000000,2003-07-02
707,The Matrix Revolutions,424988211,2003-11-05
708,X2,407711549,2003-04-24
709,Pokémon: Jirachi Wish Maker,334000000,2003-07-19
710,Bad Boys II,273339556,2003-07-18
711,Something's Gotta Give,266728738,2003-12-12
712,Charlie's Angels: Full Throttle,259175788,2003-06-27
713,Brother Bear,250397798,2003-10-23
714,Hulk,245360480,2003-06-19
715,Love Actually,244931766,2003-09-07
716,2 Fast 2 Furious,236350661,2003-06-05
717,American Wedding,231449203,2003-08-01
718,Scary Movie 3,220673217,2003-10-24
719,Master and Commander: The Far Side of the World,212011111,2003-11-14
720,Spy Kids 3-D: Game Over,197011982,2003-07-25
721,Anger Management,195745823,2003-04-11
722,Cheaper by the Dozen,190212113,2003-12-24
723,The Haunted Mansion,182290266,2003-11-25
724,Kill Bill: Vol. 1,180899265,2003-10-10
725,The League of Extraordinary Gentlemen,179265204,2003-07-11
726,Daredevil,179179718,2003-02-14
727,How to Lose a Guy in 10 Days,177371441,2003-02-07
728,The Italian Job,176070171,2003-05-30
729,Elf,173398518,2003-10-09
730,Cold Mountain,173013509,2003-12-24
731,Bayside Shakedown 2,170030016,2003-07-19
732,Daddy Day Care,164433867,2003-05-09
733,Freaky Friday,160846332,2003-08-05
734,Johnny English,160583018,2003-03-14
735,Lara Croft: Tomb Raider - The Cradle of Life,160099222,2003-07-21
736,Mystic River,156822020,2003-01-01
737,Seabiscuit,148336445,2003-07-22
738,Gothika,141591324,2003-11-21
739,Baywatch: Hawaiian Wedding,136000000,2003-02-28
740,The Jungle Book 2,135680000,2003-02-07
741,The Cat in the Hat,133818283,2003-11-21
742,Bringing Down the House,132675402,2003-03-07
743,School of Rock,131095990,2003-10-03
744,"Legally Blonde 2: Red, White & Blonde",124914842,2003-07-02
745,Big Fish,123218424,2003-12-25
746,Peter Pan,121975011,2003-12-18
747,Intolerable Cruelty,119940815,2003-09-02
748,Lost in Translation,119723856,2003-09-18
749,S.W.A.T.,116643346,2003-08-08
750,Freddy vs. Jason,114908830,2003-08-15
751,The Texas Chainsaw Massacre,107071655,2003-05-21
752,Just Married,101564935,2003-01-09
753,The Recruit,101191884,2003-01-31
754,Once Upon a Time in Mexico,98185582,2003-09-11
755,Calendar Girls,96542059,2003-09-02
756,Underworld,95708457,2003-09-19
757,Paycheck,95427515,2003-12-25
758,Final Destination 2,90941129,2003-01-31
759,Identity,90259536,2003-04-25
760,Shanghai Knights,88323487,2003-02-06
761,Old School,87135520,2003-02-21
762,Tears of the Sun,86468162,2003-03-07
763,The Rundown,80916492,2003-09-26
764,Sinbad: Legend of the Seven Seas,80767884,2003-07-02
765,Runaway Jury,80154140,2003-01-16
766,Good Bye Lenin!,79384880,2003-02-09
767,Bad Santa,76488889,2003-11-26
768,Dreamcatcher,75700000,2003-03-21
769,The Core,74208267,2003-03-28
770,Looney Tunes: Back in Action,68514844,2003-11-14
771,Open Range,68296293,2003-08-29
772,Stuck on You,65784503,2003-12-10
773,Matchstick Men,65565672,2003-09-12
774,Taxi 3,65497208,2003-01-29
775,Jeepers Creepers 2,63102666,2003-08-08
776,Piglet's Big Movie,62870546,2003-03-16
777,Honey,62646763,2003-11-24
778,21 Grams,60427839,2003-09-06
779,Monster,60378584,2003-12-24
780,Under the Tuscan Sun,58878723,2003-09-20
781,Agent Cody Banks,58795814,2003-03-14
782,Cradle 2 the Grave,56489558,2003-02-28
783,The Lizzie McGuire Movie,55534455,2003-05-02
784,Out of Time,55495563,2003-10-03
785,Rugrats Go Wild,55443032,2003-06-13
786,Radio,53293628,2003-10-24
787,Hollywood Homicide,51142659,2003-06-09
788,What a Girl Wants,50732139,2003-03-27
789,National Security,50097949,2003-01-17
790,Uptown Girls,44617342,2003-08-15
791,A Man Apart,44350926,2003-04-04
792,Timeline,43935763,2003-11-26
793,Basic,42792561,2003-04-18
794,Whale Rider,41400000,2003-01-30
795,Dumb and Dumberer: When Harry Met Lloyd,39267515,2003-04-14
796,The Life of David Gale,38955598,2003-02-21
797,The Missing,38364277,2003-11-26
798,Head of State,37788228,2003-03-28
799,Bulletproof Monk,37713879,2003-03-28
800,Shrek 2,928760770,2004-05-19
801,Harry Potter and the Prisoner of Azkaban,789804554,2004-05-31
802,Spider-Man 2,783766341,2004-06-25
803,The Incredibles,631442092,2004-10-27
804,The Passion of the Christ,611899420,2004-02-25
805,The Day After Tomorrow,544272402,2004-05-26
806,Meet the Fockers,516642939,2004-12-22
807,Troy,497409852,2004-05-03
808,Shark Tale,367275019,2004-09-20
809,Ocean's Twelve,362744280,2004-12-09
810,National Treasure,347512318,2004-11-19
811,"I, Robot",347234916,2004-07-15
812,The Polar Express,310634054,2004-11-10
813,Van Helsing,300257475,2004-05-05
814,The Bourne Supremacy,288500217,2004-07-23
815,Bridget Jones: The Edge of Reason,262500000,2004-11-10
816,The Village,256697520,2004-07-30
817,Howl's Moving Castle,236049757,2004-11-19
818,Fahrenheit 9/11,222446882,2004-06-25
819,The Terminal,219417255,2004-06-17
820,Collateral,217764291,2004-08-04
821,Million Dollar Baby,216763646,2004-12-15
822,The Aviator,213700000,2004-12-17
823,Lemony Snicket's A Series of Unfortunate Events,209073645,2004-12-16
824,King Arthur,203567857,2004-07-07
825,Garfield,200804534,2004-06-10
826,50 First Dates,196482882,2004-02-13
827,The Grudge,183474602,2004-10-22
828,Scooby-Doo 2: Monsters Unleashed,181466833,2004-03-24
829,Along Came Polly,178311729,2004-01-16
830,AVP: Alien vs. Predator,177427090,2004-08-12
831,Starsky & Hutch,170268750,2004-03-05
832,Shall We Dance?,170128460,2004-10-15
833,DodgeBall: A True Underdog Story,167722310,2004-06-18
834,Alexander,167298192,2004-11-21
835,The Phantom of the Opera,154648887,2004-12-08
836,Kill Bill: Vol. 2,152159461,2004-04-16
837,The SpongeBob SquarePants Movie,140161792,2004-11-14
838,The Princess Diaries 2: Royal Engagement,134734481,2004-08-06
839,Man on Fire,130293714,2004-04-23
840,Resident Evil: Apocalypse,129394835,2004-09-10
841,Mean Girls,129042871,2004-04-30
842,Blade: Trinity,128905366,2004-12-08
843,Ray,124731534,2004-10-29
844,The Forgotten,117592831,2004-09-24
845,Finding Neverland,116766556,2004-10-17
846,The Chronicles of Riddick,115772733,2004-06-11
847,The Notebook,115603229,2004-06-25
848,Closer,115505027,2004-12-01
849,White Chicks,113086475,2004-06-23
850,Sideways,109502303,2004-10-22
851,Hidalgo,108103450,2004-02-04
852,Home on the Range,103951461,2004-04-02
853,Saw,103911669,2004-10-01
854,Dawn of the Dead,102356381,2004-03-19
855,The Stepford Wives,102000000,2004-06-10
856,Kung Fu Hustle,101434304,2004-02-10
857,Hellboy,99318987,2004-04-02
858,13 Going on 30,96455697,2004-04-13
859,The Manchurian Candidate,96105964,2004-07-30
860,The Butterfly Effect,96060858,2004-01-22
861,Secret Window,92913171,2004-03-12
862,House of Flying Daggers,92863945,2004-05-19
863,Downfall,92180910,2004-09-08
864,Anchorman: The Legend of Ron Burgundy,90574188,2004-07-09
865,Catwoman,82102379,2004-07-22
866,Exorcist: The Beginning,78000586,2004-08-20
867,The Ladykillers,76700000,2004-03-25
868,(T)Raumschiff Surprise - Periode 1,76341401,2004-07-14
869,Ladder 49,74541707,2004-10-01
870,Eternal Sunshine of the Spotless Mind,72258126,2004-03-19
871,Around the World in 80 Days,72178895,2004-06-16
872,Taxi,71255003,2004-10-06
873,A Cinderella Story,70067909,2004-07-10
874,Without a Paddle,69631118,2004-08-20
875,Taking Lives,65470529,2004-03-19
876,Barbershop 2: Back in Business,65070412,2004-01-20
877,Miracle,64445708,2004-02-06
878,Two Brothers,62172050,2004-04-07
879,After the Sunset,61347797,2004-11-12
880,Friday Night Lights,61255921,2004-10-08
881,Sky Captain and the World of Tomorrow,57958696,2004-09-17
882,The Motorcycle Diaries,57663224,2004-02-06
883,Walking Tall,57223890,2004-04-02
884,Cellular,56422687,2004-09-06
885,Spanglish,55041367,2004-12-17
886,The Punisher,54700105,2004-04-15
887,Open Water,54667954,2004-08-06
888,Team America: World Police,50907422,2004-01-14
889,Night Watch,50336279,2004-06-27
890,Raising Helen,49718611,2004-05-27
891,Fat Albert,48563556,2004-12-25
892,Torque,46546197,2004-01-16
893,Napoleon Dynamite,46118097,2004-06-11
894,Wimbledon,41512007,2004-09-13
895,Twisted,40954603,2004-02-27
896,Bad Education,40266982,2004-03-19
897,Crimson Rivers II: Angels of the Apocalypse,40152148,2004-02-18
898,Masti,39000000,2004-04-09
899,The Sea Inside,38535221,2004-09-03
900,Harry Potter and the Goblet of Fire,895921036,2005-11-16
901,Star Wars: Episode III - Revenge of the Sith,850000000,2005-05-17
902,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",745013115,2005-12-07
903,War of the Worlds,603873119,2005-06-28
904,King Kong,562363449,2005-12-12
905,Madagascar,542063846,2005-05-25
906,Mr. & Mrs. Smith,478207520,2005-06-07
907,Charlie and the Chocolate Factory,474968763,2005-07-13
908,Mega Man X: The Day of Sigma,428000000,2005-12-15
909,Batman Begins,374218673,2005-06-10
910,Hitch,368100420,2005-02-11
911,Fantastic Four,333535934,2005-06-29
912,Chicken Little,314432665,2005-11-04
913,Wedding Crashers,285176741,2005-07-13
914,Robots,262511490,2005-03-10
915,Constantine,230884728,2005-02-08
916,Flightplan,223387299,2005-09-22
917,Kingdom of Heaven,218122627,2005-05-03
918,Fun with Dick and Jane,202026112,2005-12-21
919,The Pacifier,198636868,2005-03-04
920,Wallace & Gromit: The Curse of the Were-Rabbit,192610372,2005-09-04
921,The Longest Yard,190320568,2005-05-27
922,Walk the Line,186797986,2005-09-13
923,Brokeback Mountain,178043761,2005-09-10
924,The 40 Year Old Virgin,177378645,2005-08-11
925,The Island,162949164,2005-07-21
926,The Interpreter,162944923,2005-04-08
927,Memoirs of a Geisha,162242962,2005-12-06
928,The Ring Two,161451538,2005-03-17
929,Sin City,158733820,2005-04-01
930,Monster-in-Law,154749918,2005-05-13
931,Saw II,152925093,2005-10-28
932,The Exorcism of Emily Rose,145166804,2005-09-09
933,The Legend of Zorro,142400065,2005-10-24
934,Bewitched,131426169,2005-06-21
935,Munich,130358911,2005-12-23
936,Cheaper by the Dozen 2,129181830,2005-12-21
937,March of the Penguins,127392239,2005-01-26
938,Nanny McPhee,123276807,2005-10-21
939,Hide and Seek,122650962,2005-01-27
940,Pride & Prejudice,121147947,2005-09-16
941,Sahara,119269486,2005-04-06
942,Corpse Bride,118090836,2005-09-12
943,The Dukes of Hazzard,110803676,2005-08-05
944,Cinderella Man,108539911,2005-06-02
945,The Amityville Horror,108047131,2005-04-14
946,The Brothers Grimm,105316267,2005-08-26
947,The Hitchhiker's Guide to the Galaxy,104478416,2005-04-28
948,Just Like Heaven,102854431,2005-09-16
949,Miss Congeniality 2: Armed and Fabulous,101393569,2005-03-11
950,Crash,98410061,2005-05-06
951,Are We There Yet?,97918663,2005-01-20
952,Jarhead,97076152,2005-11-04
953,Be Cool,95226116,2005-03-04
954,The Skeleton Key,93983911,2005-07-29
955,Syriana,93974620,2005-11-23
956,Four Brothers,92374674,2005-08-11
957,The Family Stone,92000000,2005-12-15
958,White Noise,91196419,2005-01-07
959,Racing Stripes,90754475,2005-01-06
960,Transporter 2,89083229,2005-08-03
961,Rumor Has It...,88933562,2005-12-22
962,Sky High,86369815,2005-07-29
963,Match Point,85306374,2005-10-26
964,In Her Shoes,83073883,2005-10-07
965,The Constant Gardener,82466670,2005-08-31
966,Hostage,77944725,2005-03-10
967,Stealth,76932943,2005-07-27
968,Coach Carter,76669806,2005-01-14
969,Lord of War,72617068,2005-09-16
970,"Yours, Mine & Ours",72028752,2005-11-23
971,The Adventures of Sharkboy and Lavagirl,71992655,2005-06-10
972,xXx: State of the Union,71073932,2005-04-27
973,Guess Who,68915888,2005-03-25
974,House of Wax,68766121,2005-04-30
975,Boogeyman,67192859,2005-02-04
976,Herbie Fully Loaded,66002004,2005-06-22
977,Zathura: A Space Adventure,65079104,2005-11-06
978,Valiant,61746888,2005-03-25
979,A History of Violence,60740827,2005-09-23
980,Must Love Dogs,58405313,2005-07-21
981,Doom,58072119,2005-10-20
982,Red Eye,57891803,2005-08-19
983,Derailed,57479076,2005-11-11
984,The Descent,57051053,2005-07-08
985,Elektra,56681566,2005-01-13
986,Kicking & Screaming,56070433,2005-05-13
987,"Good Night, and Good Luck.",54600000,2005-09-16
988,Æon Flux,53321673,2005-11-30
989,Pooh's Heffalump Movie,52900000,2005-02-11
990,Elizabethtown,52164016,2005-10-14
991,Hoodwinked!,51053787,2005-12-16
992,Unleashed,50871113,2005-02-02
993,Just Friends,50817508,2005-11-23
994,Dark Water,49483352,2005-07-08
995,Capote,49327405,2005-09-30
996,The Wedding Date,47175038,2005-02-04
997,Land of the Dead,46770602,2005-06-24
998,Broken Flowers,46720491,2005-08-05
999,Get Rich or Die Tryin',46442528,2005-11-09
1000,Pirates of the Caribbean: Dead Man's Chest,1065659812,2006-07-06
1001,The Da Vinci Code,767820459,2006-05-17
1002,Ice Age: The Meltdown,660998756,2006-03-29
1003,Casino Royale,599045960,2006-11-14
1004,Night at the Museum,574480841,2006-10-20
1005,Cars,461983149,2006-06-08
1006,X-Men: The Last Stand,459359555,2006-05-24
1007,Mission: Impossible III,397850012,2006-05-03
1008,Superman Returns,391081192,2006-06-28
1009,Happy Feet,384335608,2006-11-16
1010,Over the Hedge,343397247,2006-05-17
1011,The Devil Wears Prada,326551094,2006-06-30
1012,The Pursuit of Happyness,307077295,2006-12-14
1013,The Departed,291465000,2006-10-05
1014,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,262552893,2006-11-01
1015,Eragon,249288105,2006-12-14
1016,Click,240685326,2006-06-23
1017,The Break-Up,205668210,2006-06-01
1018,Open Season,197309027,2006-09-29
1019,The Holiday,194168700,2006-12-08
1020,Inside Man,186003591,2006-03-17
1021,Poseidon,181674817,2006-05-10
1022,Déjà Vu,180557550,2006-11-22
1023,The Visual Effects of 'Scary Movie 4',178262620,2006-04-20
1024,Scary Movie 4,178262620,2006-04-12
1025,Flushed Away,178120010,2006-10-22
1026,Blood Diamond,171720398,2006-01-26
1027,Saw III,163876815,2006-10-27
1028,Miami Vice,163794509,2006-07-27
1029,World Trade Center,163247198,2006-08-09
1030,Talladega Nights: The Ballad of Ricky Bobby,162966177,2006-08-04
1031,The Pink Panther,158851357,2006-02-10
1032,The Fast and the Furious: Tokyo Drift,158468292,2006-06-03
1033,Rocky Balboa,155721132,2006-12-20
1034,Dreamgirls,154937680,2006-12-25
1035,Charlotte's Web,144000000,2006-12-07
1036,Garfield: A Tail of Two Kitties,141702264,2006-06-15
1037,Monster House,140175006,2006-06-30
1038,Big Momma's House 2,138259062,2006-01-26
1039,Babel,135330182,2006-09-08
1040,V for Vendetta,132511035,2006-02-23
1041,Perfume: The Story of a Murderer,132180323,2006-09-13
1042,"You, Me and Dupree",130431368,2006-07-13
1043,Failure to Launch,128406887,2006-03-10
1044,The Queen,123384128,2006-09-15
1045,Apocalypto,120654337,2006-12-07
1046,Eight Below,120455994,2006-02-17
1047,The Omen,119188334,2006-06-06
1048,Final Destination 3,118890272,2006-02-09
1049,Barnyard,116476887,2006-08-04
1050,The Lake House,114830111,2006-06-16
1051,Step Up,114194847,2006-08-11
1052,Underworld: Evolution,111476513,2006-01-12
1053,The Prestige,109676311,2006-10-19
1054,Arthur and the Invisibles,107944236,2006-12-13
1055,Little Man,101595121,2006-08-31
1056,Little Miss Sunshine,100523181,2006-07-26
1057,The Good Shepherd,100266865,2006-12-11
1058,Nacho Libre,99255460,2006-06-16
1059,Silent Hill,97607453,2006-04-21
1060,The Host,88489643,2006-07-27
1061,The Illusionist,87892388,2006-08-18
1062,RV,87528173,2006-04-28
1063,The Shaggy Dog,87134280,2006-03-09
1064,Volver,85582407,2006-03-16
1065,The Santa Clause 3: The Escape Clause,84500122,2006-11-01
1066,Pan's Labyrinth,83258226,2006-08-25
1067,Firewall,82800000,2006-02-08
1068,Hostel,81979826,2006-01-06
1069,The Sentinel,78810595,2006-04-19
1070,Curse of the Golden Flower,78568977,2006-12-14
1071,United 93,76286096,2006-04-28
1072,Lady in the Water,72785169,2006-07-20
1073,Jackass Number Two,72778712,2006-09-22
1074,Children of Men,70595464,2006-09-19
1075,The Lives of Others,70000000,2006-03-15
1076,Curious George,69834815,2006-02-10
1077,The Hills Have Eyes,69623713,2006-03-10
1078,Letters from Iwo Jima,68673228,2006-12-19
1079,Tales from Earthsea,68625104,2006-07-29
1080,Fearless,68072848,2006-01-26
1081,When a Stranger Calls,66966987,2006-02-03
1082,Flags of Our Fathers,65900249,2006-10-18
1083,Take the Lead,65742992,2006-03-17
1084,16 Blocks,65664721,2006-03-01
1085,Snakes on a Plane,62022014,2006-08-06
1086,My Super Ex-Girlfriend,60896147,2006-06-20
1087,Marie Antoinette,60474340,2006-05-24
1088,Invincible,57806952,2006-08-25
1089,Madea's Family Reunion,57231524,2006-02-24
1090,Smokin' Aces,57103895,2006-12-09
1091,Lucky Number Slevin,56308881,2006-02-24
1092,The Ant Bully,55181129,2006-07-28
1093,Stranger Than Fiction,53653224,2006-09-09
1094,The Texas Chainsaw Massacre: The Beginning,51764406,2006-10-06
1095,Death Note: The Last Name,50710400,2006-10-28
1096,Notes on a Scandal,49469904,2006-12-25
1097,The Black Dahlia,49111202,2006-09-15
1098,Date Movie,48548426,2006-02-17
1099,The Last King of Scotland,48027970,2006-01-12
1100,Pirates of the Caribbean: At World's End,961000000,2007-05-19
1101,Harry Potter and the Order of the Phoenix,938212738,2007-06-28
1102,Spider-Man 3,890871626,2007-05-01
1103,Shrek the Third,813367380,2007-05-17
1104,Transformers,709709780,2007-06-27
1105,Ratatouille,623726000,2007-06-28
1106,I Am Legend,585410052,2007-12-12
1107,The Simpsons Movie,527068851,2007-07-25
1108,National Treasure: Book of Secrets,459242249,2007-12-13
1109,The Bourne Ultimatum,442824138,2007-08-03
1110,300,422610419,2007-03-07
1111,Live Free or Die Hard,383531464,2007-06-20
1112,The Golden Compass,372234864,2007-12-04
1113,Alvin and the Chipmunks,361366633,2007-12-13
1114,Enchanted,340487652,2007-11-20
1115,Ocean's Thirteen,311312624,2007-06-06
1116,Fantastic Four: Rise of the Silver Surfer,301913131,2007-06-13
1117,Bee Movie,287594577,2007-10-28
1118,American Gangster,266465037,2007-11-02
1119,Rush Hour 3,258022233,2007-08-08
1120,Wild Hogs,253625427,2007-03-02
1121,Mr. Bean's Holiday,232225908,2007-03-22
1122,Juno,231411584,2007-12-05
1123,Ghost Rider,228738393,2007-01-15
1124,Knocked Up,219076518,2007-06-01
1125,Beowulf,195735876,2007-11-05
1126,Paranormal Activity,194183034,2007-09-14
1127,I Now Pronounce You Chuck & Larry,187134117,2007-07-12
1128,The Bucket List,175372502,2007-12-25
1129,Evan Almighty,174440724,2007-06-09
1130,No Country for Old Men,171627166,2007-11-08
1131,Meet the Robinsons,169332978,2007-03-23
1132,Norbit,159313561,2007-02-08
1133,P.S. I Love You,156835339,2007-11-15
1134,Sweeney Todd: The Demon Barber of Fleet Street,152000000,2007-01-25
1135,Surf's Up,149044513,2007-06-08
1136,Resident Evil: Extinction,148412065,2007-09-20
1137,The Game Plan,147880543,2007-09-28
1138,Music and Lyrics,145896422,2007-02-09
1139,Saw IV,139352633,2007-10-25
1140,Bridge to Terabithia,137587063,2007-02-15
1141,Stardust,135560026,2007-08-09
1142,1408,132963417,2007-06-22
1143,Atonement,131016624,2007-09-07
1144,Aliens vs Predator: Requiem,130290885,2007-12-25
1145,The Heartbreak Kid,127766650,2007-10-05
1146,Superbad,121463226,2007-03-20
1147,Charlie Wilson's War,119000410,2007-12-19
1148,Blades of Glory,118200000,2007-03-30
1149,Disturbia,117760134,2007-04-12
1150,Earth,109000000,2007-04-22
1151,Spice Girls: The Return of the Spice Girls Tour,107200000,2007-12-02
1152,The Water Horse,103071443,2007-12-25
1153,Hitman,99965753,2007-11-21
1154,Fred Claus,97838349,2007-11-03
1155,Shooter,95696996,2007-03-22
1156,TMNT,95608995,2007-03-23
1157,Michael Clayton,92991835,2007-07-12
1158,No Reservations,92601050,2007-06-15
1159,Fracture,91354215,2007-04-19
1160,Hairspray,90450008,2007-07-19
1161,Epic Movie,86865564,2007-01-25
1162,The Kingdom,86658558,2007-08-22
1163,La Vie en Rose,86274793,2007-02-14
1164,Zodiac,84785914,2007-03-02
1165,Premonition,84146832,2007-02-08
1166,Hannibal Rising,82169884,2007-02-06
1167,Rabbit Without Ears,81303447,2007-12-01
1168,Hot Fuzz,80573774,2007-02-14
1169,Halloween,80253908,2007-08-31
1170,The Orphanage,78638987,2007-05-20
1171,The Number 23,77566815,2007-02-23
1172,There Will Be Blood,77208711,2007-12-28
1173,Next,76066841,2007-04-25
1174,Stomp the Yard,75511123,2007-05-16
1175,30 Days of Night,75505973,2007-10-17
1176,Dragon Wars,75108998,2007-02-08
1177,Elizabeth: The Golden Age,74237563,2007-09-09
1178,The Kite Runner,73276047,2007-10-04
1179,Perfect Stranger,73090611,2007-04-11
1180,3:10 to Yuma,70016220,2007-09-06
1181,The Brave One,69766619,2007-09-12
1182,Because I Said So,69485490,2007-02-02
1183,Mr. Magorium's Wonder Emporium,69474661,2007-11-14
1184,License to Wed,69307224,2007-07-04
1185,Dan in Real Life,68377859,2007-10-26
1186,"Lust, Caution",67091915,2007-09-28
1187,August Rush,66122026,2007-11-21
1188,Underdog,65270477,2007-08-03
1189,Taxi 4,65125001,2007-02-10
1190,28 Weeks Later,65048678,2007-04-26
1191,Lions for Lambs,63215872,2007-10-22
1192,The Reaping,62771059,2007-04-05
1193,Good Luck Chuck,59192128,2007-09-21
1194,Are We Done Yet?,58400000,2007-04-04
1195,The Mist,57096190,2007-11-21
1196,Into the Wild,56255142,2007-09-11
1197,Eastern Promises,56106607,2007-09-14
1198,The Irony of Fate. The Sequel,55635037,2007-12-21
1199,Why Did I Get Married?,55184721,2007-10-12
1200,The Dark Knight,1004558444,2008-07-14
1201,Indiana Jones and the Kingdom of the Crystal Skull,786636033,2008-05-21
1202,Kung Fu Panda,631744560,2008-06-04
1203,Hancock,629443428,2008-07-01
1204,Mamma Mia!,609841637,2008-07-02
1205,Madagascar: Escape 2 Africa,603900354,2008-10-30
1206,Quantum of Solace,589580482,2008-10-31
1207,Iron Man,585174222,2008-04-30
1208,WALL·E,521311860,2008-06-22
1209,The Chronicles of Narnia: Prince Caspian,419665568,2008-05-15
1210,Sex and the City,415252786,2008-05-12
1211,The Mummy: Tomb of the Dragon Emperor,403449830,2008-07-01
1212,Twilight,393616788,2008-11-20
1213,Slumdog Millionaire,378410542,2008-11-12
1214,Wanted,342463063,2008-06-19
1215,The Curious Case of Benjamin Button,333932083,2008-12-25
1216,Bolt,309979994,2008-11-21
1217,Horton Hears a Who!,298572799,2008-03-03
1218,Gran Torino,269958228,2008-12-09
1219,"10,000 BC",269784201,2008-02-22
1220,High School Musical 3: Senior Year,252909177,2008-10-11
1221,Red Cliff,250100000,2008-07-10
1222,Welcome to the Sticks,245144417,2008-02-20
1223,Marley & Me,242717113,2008-12-25
1224,The Day the Earth Stood Still,233093859,2008-12-10
1225,Get Smart,230685453,2008-06-19
1226,Taken,226830568,2008-02-18
1227,Yes Man,223241637,2008-12-09
1228,Jumper,222231186,2008-02-13
1229,What Happens in Vegas,219375562,2008-05-07
1230,Bedtime Stories,212874864,2008-12-24
1231,Australia,211787511,2008-11-18
1232,You Don't Mess with the Zohan,204313400,2008-06-05
1233,Ponyo,202404009,2008-07-19
1234,Valkyrie,200276000,2008-12-25
1235,Tropic Thunder,195702811,2008-08-09
1236,Eagle Eye,178800000,2008-09-25
1237,Cloverfield,170764026,2008-01-15
1238,Seven Pounds,168167691,2008-12-18
1239,The Spiderwick Chronicles,164170327,2008-02-14
1240,Four Christmases,163733697,2008-11-26
1241,Burn After Reading,163720069,2008-09-05
1242,The Incredible Hulk,163712074,2008-06-12
1243,The Happening,163403799,2008-06-11
1244,Hellboy II: The Golden Army,160388063,2008-07-11
1245,27 Dresses,160259319,2008-01-10
1246,Vantage Point,151161491,2008-02-01
1247,Step Up 2: The Streets,150816700,2008-02-14
1248,Beverly Hills Chihuahua,149281606,2008-10-03
1249,Astérix at the Olympic Games,132900000,2008-01-30
1250,Step Brothers,128107642,2008-07-25
1251,The Forbidden Kingdom,127906624,2008-04-18
1252,Saw V,113857533,2008-10-23
1253,Body of Lies,113280098,2008-10-10
1254,Rambo,113244290,2008-01-24
1255,Changeling,113020255,2008-01-30
1256,Fool's Gold,111231041,2008-02-07
1257,Transporter 3,108979549,2008-11-26
1258,The Reader,108902486,2008-01-02
1259,Made of Honor,106407672,2008-04-30
1260,Forgetting Sarah Marshall,105173115,2008-04-17
1261,Journey to the Center of the Earth,101702060,2008-07-10
1262,Pineapple Express,101624843,2008-08-06
1263,Nim's Island,100076342,2008-04-03
1264,Vicky Cristina Barcelona,96408652,2008-08-15
1265,Speed Racer,93945766,2008-05-07
1266,Role Models,92380927,2008-11-07
1267,The Tale of Despereaux,86947965,2008-12-18
1268,Max Payne,85416905,2008-10-15
